ccf_ap	ccf_dv	ccf_lr	allen_ontology
4723.7	1515.3	4459.3	MOp
4744.9	1515.3	4435.3	MOp
4728.3	1496.9	4442	MOp
4749.5	1496.9	4418	MOp
4711.6	1478.6	4448.6	MOp
4732.8	1478.6	4424.6	MOp
4716.2	1460.3	4431.3	MOp
4737.4	1460.3	4407.3	MOp
4699.6	1442	4437.9	MOp
4720.8	1442	4414	MOp
4704.2	1423.7	4420.6	MOp
4725.4	1423.7	4396.7	MOp
4687.5	1405.4	4427.3	MOp
4708.8	1405.4	4403.3	MOp
4692.1	1387.1	4410	MOp
4713.3	1387.1	4386	MOp
4675.5	1368.8	4416.6	MOp
4696.7	1368.8	4392.7	MOp
4680.1	1350.4	4399.3	MOp
4701.3	1350.4	4375.3	MOp
4663.5	1332.1	4405.9	MOp
4684.7	1332.1	4382	MOp
4668	1313.8	4388.6	MOp
4689.2	1313.8	4364.7	MOp
4651.4	1295.5	4395.3	MOp
4672.6	1295.5	4371.3	MOp
4656	1277.2	4378	MOp
4677.2	1277.2	4354	MOp
4639.4	1258.9	4384.6	MOp
4660.6	1258.9	4360.7	MOp
4665.2	1240.6	4343.3	MOp
4627.3	1222.3	4374	MOp
4648.5	1222.3	4350	MOp
4631.9	1204	4356.6	MOp
4653.1	1204	4332.7	MOp
4615.3	1185.6	4363.3	MOp
4636.5	1185.6	4339.3	MOp
4619.9	1167.3	4346	MOp
4641.1	1167.3	4322	MOp
4603.2	1149	4352.6	MOp
4624.4	1149	4328.7	MOp
4607.8	1130.7	4335.3	MOp
4629	1130.7	4311.4	MOp
4591.2	1112.4	4342	MOp
4612.4	1112.4	4318	MOp
4595.8	1094.1	4324.7	MOp
4617	1094.1	4300.7	MOp
4579.1	1075.8	4331.3	MOp
4600.4	1075.8	4307.3	MOp
4583.7	1057.5	4314	MOp
4604.9	1057.5	4290	MOp
4567.1	1039.2	4320.6	MOp
4588.3	1039.2	4296.7	MOp
4571.7	1020.8	4303.3	MOp
4592.9	1020.8	4279.4	MOp
4555.1	1002.5	4310	MOp
4576.3	1002.5	4286	MOp
4559.6	984.2	4292.7	MOp
4580.9	984.2	4268.7	MOp
4543	965.9	4299.3	MOp
4564.2	965.9	4275.3	MOp
4547.6	947.6	4282	MOp
4568.8	947.6	4258	root
4531	929.3	4288.6	root
4552.2	929.3	4264.7	root
4535.6	911	4271.3	root
4556.8	911	4247.4	root
4518.9	892.7	4278	root
4523.5	874.4	4260.7	root
4544.7	874.4	4236.7	root
4506.9	856	4267.3	root
4528.1	856	4243.4	root
4636.4	4258.4	4881.7	LSr
4665.5	4258.4	4894.9	LSr
4625	4239.9	4868.1	LSr
4654.1	4239.9	4881.3	LSr
4642.7	4221.5	4867.8	LSr
4671.8	4221.5	4881	LSr
4631.3	4203	4854.2	LSr
4660.4	4203	4867.4	LSr
4649	4184.5	4853.9	LSr
4678.2	4184.5	4867.1	LSr
4637.6	4166	4840.3	LSr
4666.8	4166	4853.5	LSr
4655.4	4147.5	4839.9	LSr
4684.5	4147.5	4853.2	LSr
4644	4129	4826.4	LSr
4673.1	4129	4839.6	LSr
4661.7	4110.6	4826	LSr
4690.8	4110.6	4839.3	LSr
4650.3	4092.1	4812.5	LSr
4679.4	4092.1	4825.7	LSr
4668	4073.6	4812.1	LSr
4697.1	4073.6	4825.4	LSr
4656.6	4055.1	4798.5	LSr
4685.7	4055.1	4811.8	LSr
4674.3	4036.6	4798.2	LSr
4703.5	4036.6	4811.5	LSr
4662.9	4018.1	4784.6	LSr
4692.1	4018.1	4797.9	LSr
4680.7	3999.7	4784.3	LSr
4709.8	3999.7	4797.6	LSr
4669.3	3981.2	4770.7	LSr
4698.4	3981.2	4784	LSr
4687	3962.7	4770.4	LSr
4716.1	3962.7	4783.6	LSr
4675.6	3944.2	4756.8	LSr
4704.7	3944.2	4770.1	LSr
4722.5	3925.7	4769.7	LSr
4681.9	3907.3	4742.9	LSr
4711.1	3907.3	4756.1	LSr
4699.7	3888.8	4742.6	LSr
4728.8	3888.8	4755.8	root
4688.3	3870.3	4729	root
4717.4	3870.3	4742.2	root
4706	3851.8	4728.7	root
4735.1	3851.8	4741.9	root
4694.6	3833.3	4715.1	root
4723.7	3833.3	4728.3	root
4712.3	3814.8	4714.7	root
4741.4	3814.8	4728	root
4700.9	3796.4	4701.2	root
4730	3796.4	4714.4	root
4718.6	3777.9	4700.8	root
4747.8	3777.9	4714.1	root
4707.2	3759.4	4687.3	root
4736.4	3759.4	4700.5	root
4725	3740.9	4686.9	root
4754.1	3740.9	4700.2	root
4713.6	3722.4	4673.3	root
4742.7	3722.4	4686.6	root
4731.3	3703.9	4673	root
4760.4	3703.9	4686.3	root
4719.9	3685.5	4659.4	root
4749	3685.5	4672.7	root
4737.6	3667	4659.1	root
4766.8	3667	4672.4	root
4726.2	3648.5	4645.5	root
4755.4	3648.5	4658.8	root
4744	3630	4645.2	root
4773.1	3630	4658.4	root
4732.6	3611.5	4631.6	root
4761.7	3611.5	4644.9	root
4750.3	3593	4631.3	root
4779.4	3593	4644.5	root
4738.9	3574.6	4617.7	root
4756.6	3556.1	4617.4	root
4785.7	3556.1	4630.6	root
4745.2	3537.6	4603.8	root
4774.3	3537.6	4617	root
4762.9	3519.1	4603.5	root
4792.1	3519.1	4616.7	root
4751.5	3500.6	4589.9	root
4780.7	3500.6	4603.1	root
4769.3	3482.1	4589.6	root
4798.4	3482.1	4602.8	root
4757.9	3463.7	4576	root
4787	3463.7	4589.2	root
4775.6	3445.2	4575.6	root
4804.7	3445.2	4588.9	root
4764.2	3426.7	4562.1	root
4793.3	3426.7	4575.3	root
4781.9	3408.2	4561.7	root
4811	3408.2	4575	root
4770.5	3389.7	4548.2	root
4799.6	3389.7	4561.4	root
4788.2	3371.2	4547.8	root
4817.4	3371.2	4561.1	root
4776.8	3352.8	4534.2	root
4806	3352.8	4547.5	root
4794.6	3334.3	4533.9	root
4823.7	3334.3	4547.2	root
4783.2	3315.8	4520.3	root
4812.3	3315.8	4533.6	root
4800.9	3297.3	4520	root
4830	3297.3	4533.3	root
4789.5	3278.8	4506.4	root
4818.6	3278.8	4519.7	root
4807.2	3260.4	4506.1	root
4836.4	3260.4	4519.3	root
4795.8	3241.9	4492.5	root
4825	3241.9	4505.8	root
4842.7	3223.4	4505.4	root
4802.2	3204.9	4478.6	root
4831.3	3204.9	4491.9	root
4819.9	3186.4	4478.3	root
4849	3186.4	4491.5	root
4808.5	3167.9	4464.7	root
4837.6	3167.9	4477.9	root
4826.2	3149.5	4464.4	root
4855.3	3149.5	4477.6	root
4814.8	3131	4450.8	root
4843.9	3131	4464	root
4832.5	3112.5	4450.4	root
4861.7	3112.5	4463.7	root
4821.1	3094	4436.9	root
4850.3	3094	4450.1	root
4838.9	3075.5	4436.5	root
4868	3075.5	4449.8	root
4827.5	3057	4423	root
4856.6	3057	4436.2	root
4845.2	3038.6	4422.6	root
4874.3	3038.6	4435.9	root
4833.8	3020.1	4409	root
4862.9	3020.1	4422.3	root
4851.5	3001.6	4408.7	root
4880.7	3001.6	4422	root
4840.1	2983.1	4395.1	root
4869.3	2983.1	4408.4	root
4857.9	2964.6	4394.8	root
4887	2964.6	4408.1	root
4846.5	2946.1	4381.2	root
4875.6	2946.1	4394.5	CP
4864.2	2927.7	4380.9	CP
4893.3	2927.7	4394.1	CP
4852.8	2909.2	4367.3	CP
4881.9	2909.2	4380.6	CP
4870.5	2890.7	4367	CP
4899.6	2890.7	4380.2	CP
4859.1	2872.2	4353.4	CP
4876.8	2853.7	4353.1	CP
4906	2853.7	4366.3	CP
4865.4	2835.2	4339.5	CP
4894.6	2835.2	4352.7	CP
4883.2	2816.8	4339.2	CP
4912.3	2816.8	4352.4	CP
4871.8	2798.3	4325.6	CP
4900.9	2798.3	4338.8	CP
4889.5	2779.8	4325.3	CP
4918.6	2779.8	4338.5	CP
4878.1	2761.3	4311.7	CP
4907.2	2761.3	4324.9	CP
4895.8	2742.8	4311.3	CP
4924.9	2742.8	4324.6	CP
4884.4	2724.4	4297.8	CP
4913.5	2724.4	4311	CP
4902.1	2705.9	4297.4	CP
4931.3	2705.9	4310.7	CP
4890.7	2687.4	4283.9	CP
4919.9	2687.4	4297.1	CP
4908.5	2668.9	4283.5	CP
4937.6	2668.9	4296.8	CP
4897.1	2650.4	4269.9	CP
4926.2	2650.4	4283.2	CP
4914.8	2631.9	4269.6	CP
4943.9	2631.9	4282.9	CP
4903.4	2613.5	4256	CP
4932.5	2613.5	4269.3	CP
4921.1	2595	4255.7	CP
4950.3	2595	4269	CP
4909.7	2576.5	4242.1	CP
4938.9	2576.5	4255.4	CP
4927.5	2558	4241.8	CP
4956.6	2558	4255	CP
4916.1	2539.5	4228.2	CP
4945.2	2539.5	4241.5	CP
4962.9	2521	4241.1	CP
4922.4	2502.6	4214.3	CP
4951.5	2502.6	4227.6	CP
4940.1	2484.1	4214	CP
4969.2	2484.1	4227.2	CP
4928.7	2465.6	4200.4	CP
4957.8	2465.6	4213.6	CP
4946.4	2447.1	4200.1	CP
4975.6	2447.1	4213.3	CP
4935	2428.6	4186.5	CP
4964.2	2428.6	4199.7	CP
4952.8	2410.1	4186.2	CP
4981.9	2410.1	4199.4	CP
4941.4	2391.7	4172.6	CP
4970.5	2391.7	4185.8	CP
4959.1	2373.2	4172.2	CP
4988.2	2373.2	4185.5	CP
4947.7	2354.7	4158.7	CP
4976.8	2354.7	4171.9	CP
4965.4	2336.2	4158.3	CP
4994.6	2336.2	4171.6	CP
4954	2317.7	4144.7	CP
4983.2	2317.7	4158	CP
4971.8	2299.2	4144.4	CP
5000.9	2299.2	4157.7	CP
4960.4	2280.8	4130.8	CP
4989.5	2280.8	4144.1	CP
4978.1	2262.3	4130.5	CP
5007.2	2262.3	4143.8	CP
4966.7	2243.8	4116.9	CP
4995.8	2243.8	4130.2	CP
4984.4	2225.3	4116.6	CP
5013.5	2225.3	4129.8	CP
4973	2206.8	4103	CP
5002.1	2206.8	4116.3	CP
4990.7	2188.3	4102.7	CP
5019.9	2188.3	4115.9	CP
4979.3	2169.9	4089.1	CP
4997.1	2151.4	4088.8	CP
5026.2	2151.4	4102	CP
4985.7	2132.9	4075.2	CP
5014.8	2132.9	4088.4	CP
5003.4	2114.4	4074.9	CP
5032.5	2114.4	4088.1	CP
4992	2095.9	4061.3	CP
5021.1	2095.9	4074.5	CP
5009.7	2077.5	4061	CP
5038.8	2077.5	4074.2	CP
4998.3	2059	4047.4	CP
5027.4	2059	4060.6	CP
5016	2040.5	4047	CP
5045.2	2040.5	4060.3	CP
5004.6	2022	4033.5	CP
5033.8	2022	4046.7	CP
