session,matching_seed,repetition,pipeline_success,pattern_pass,chan_dom_L_min,chan_dom_L_mean,chan_dom_R_min,chan_dom_R_mean,late_L_d_minus_i,late_L_i_minus_dR,late_R_d_minus_i,late_R_i_minus_dL,min_required_margin,error
Hench_2017-06-18,2,29,True,False,0.90855466444496,1.7730138224085101,1.045061315536307,1.7730138224085097,0.10433521560156611,0.2635504681602223,-0.15572927415295168,0.5021151178836252,-0.15572927415295168,
Hench_2017-06-18,2,30,True,False,,,,,,,,,,
Hench_2017-06-18,2,31,True,False,1.9448887431066064,2.3161872368818144,1.9880199191724812,2.316187236881815,-0.22884945430060333,0.4773150360876184,0.1687640360949374,-0.17178775518712103,-0.22884945430060333,
Hench_2017-06-18,2,32,True,False,1.1668048517004674,2.2516659528500753,1.4901379533570704,2.251665952850074,-0.37349254850947533,-1.0683867924028465,-1.091351778832078,-0.3886821189574841,-1.091351778832078,
Hench_2017-06-18,2,33,True,False,,,,,,,,,,
Hench_2017-06-18,2,34,True,False,1.9133129186023783,2.1451927758102016,1.7987933957973996,2.145192775810202,-0.26687233461377713,0.490131335914376,0.16542753860655424,-0.36646744814933807,-0.36646744814933807,
Hench_2017-06-18,2,35,True,False,,,,,,,,,,
Hench_2017-06-18,2,36,True,False,,,,,,,,,,
Hench_2017-06-18,2,37,True,False,1.7652516060468102,2.3754480280614896,1.8600817920131247,2.3754480280614882,-0.12642739997423047,-0.3870387450871402,-0.18251334420217513,0.10073817684641892,-0.3870387450871402,
Hench_2017-06-18,2,38,True,False,,,,,,,,,,
Hench_2017-06-18,2,39,True,True,1.2050073267348103,2.006481172650319,1.4776412762240176,2.0064811726503176,0.5516807111872766,0.7633729257872578,0.15318786785862204,0.7458883666129013,0.15318786785862204,
Hench_2017-06-18,2,40,True,False,1.4402458329997403,1.7515484519330162,0.8000611529939545,1.7515484519330167,-0.07191258845249493,0.7245554601641996,-0.17283707842868967,-0.24954188167250066,-0.24954188167250066,
Hench_2017-06-18,2,41,True,True,1.79122536931875,1.8959953873934177,1.3294677368466232,1.8959953873934199,0.31848477297779365,0.5564383696540919,0.07255598211896475,0.6176413857234968,0.07255598211896475,
Hench_2017-06-18,2,42,True,False,0.4097324248391565,1.6939226025554746,0.9120048714765043,1.6939226025554763,0.5523685358435256,-0.8719802842071699,0.16283994198175167,-0.07326052909980699,-0.8719802842071699,
Hench_2017-06-18,2,43,True,False,,,,,,,,,,
Hench_2017-06-18,2,44,True,False,0.4879721016520977,1.4831436178657864,0.17659220229707828,1.483143617865787,0.20861091182288805,-0.262508716346199,-0.42506072890649227,0.1338228485350374,-0.42506072890649227,
Hench_2017-06-18,2,45,True,False,,,,,,,,,,
Hench_2017-06-18,2,46,True,False,,,,,,,,,,
Hench_2017-06-18,2,47,True,False,,,,,,,,,,
Hench_2017-06-18,2,48,True,False,1.0705256739838522,2.0851066331980266,1.63798678268229,2.085106633198027,0.5097568246453682,0.12831592432084288,-0.04936557616941417,0.4727125055477249,-0.04936557616941417,
Hench_2017-06-18,2,49,True,False,1.7188994035121343,2.0659975425123647,1.2719688205071185,2.0659975425123656,-0.10269917057720379,0.9951945707036942,0.31451640060105857,-0.03567649715281446,-0.10269917057720379,
Lederberg_2017-12-11,4,0,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,1,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,2,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,3,True,False,0.9868381275670719,1.8450678430991452,1.1189469614650278,1.8450678430991452,-0.3838569989625864,0.09484414462899238,-0.40422883609067495,-0.10753515385484229,-0.40422883609067495,
Lederberg_2017-12-11,4,4,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,5,True,False,1.4514310827193668,2.123803627494666,1.3480128899490988,2.1238036274946652,-0.5103994792802493,0.13351964622856655,0.3070237685190117,0.42070569636665267,-0.5103994792802493,
Lederberg_2017-12-11,4,6,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,7,False,False,,,,,,,,,,Lederberg_2017-12-11: only 7 units after the original filters.
Lederberg_2017-12-11,4,8,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,9,True,False,0.2789738421306196,1.5297254569287524,0.9932515316526798,1.5297254569287515,-0.09627548043582745,-0.3089547092455706,0.45388649193999975,0.31160114345924095,-0.3089547092455706,
Lederberg_2017-12-11,4,10,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,11,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,12,False,False,,,,,,,,,,Lederberg_2017-12-11: only 6 units after the original filters.
Lederberg_2017-12-11,4,13,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,14,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,15,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,16,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,17,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,18,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,19,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,20,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,21,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,22,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,23,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,24,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,25,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,26,True,False,1.168071251660156,1.9713271727693586,1.580434641552693,1.97132717276936,-0.22424695301631714,0.10755540250294685,-0.2607291886849228,-0.22148926016855638,-0.2607291886849228,
Lederberg_2017-12-11,4,27,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,28,False,False,,,,,,,,,,Lederberg_2017-12-11: only 6 units after the original filters.
Lederberg_2017-12-11,4,29,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,30,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,31,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,32,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,33,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,34,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,35,True,False,0.8115884010675396,1.625945829646844,1.176574015751683,1.6259458296468445,-0.9150823150267626,0.8166598905899762,0.3319779808395342,-0.3613770263518161,-0.9150823150267626,
Lederberg_2017-12-11,4,36,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,37,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,38,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,39,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,40,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,41,False,False,,,,,,,,,,Lederberg_2017-12-11: only 5 units after the original filters.
Lederberg_2017-12-11,4,42,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,43,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,44,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,45,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,46,True,False,1.4814993933707417,2.1122559560193124,0.8565731948148809,2.112255956019312,-0.22725981265219897,0.04436214999941235,-0.021376478509954944,0.14278067458680477,-0.22725981265219897,
Lederberg_2017-12-11,4,47,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,48,True,False,,,,,,,,,,
Lederberg_2017-12-11,4,49,False,False,,,,,,,,,,Lederberg_2017-12-11: only 5 units after the original filters.
Radnitz_2017-01-12,5,0,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,1,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,2,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,3,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,4,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,5,True,False,0.7495593538650798,1.5662688631252744,0.8585089300967701,1.5662688631252752,0.338254490881301,-0.5797585892118501,-0.3640250524519411,0.6770013048237903,-0.5797585892118501,
Radnitz_2017-01-12,5,6,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,7,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,8,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,9,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,10,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,11,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,12,False,False,,,,,,,,,,Radnitz_2017-01-12: only 6 units after the original filters.
Radnitz_2017-01-12,5,13,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,14,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,15,False,False,,,,,,,,,,Radnitz_2017-01-12: only 4 units after the original filters.
Radnitz_2017-01-12,5,16,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,17,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,18,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,19,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,20,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,21,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,22,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,23,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,24,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,25,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,26,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,27,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,28,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,29,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,30,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,31,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,32,True,False,1.186178489724242,1.5792935728158595,0.8738670936510726,1.5792935728158592,-0.08225729008884108,0.32892606186904433,0.16654113000390913,0.32779566207043653,-0.08225729008884108,
Radnitz_2017-01-12,5,33,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,34,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,35,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,36,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,37,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,38,True,False,1.4415037519362104,2.2244598410930525,1.3152707218648123,2.2244598410930525,-0.4115676908856736,0.3230388451287347,0.2676280714705561,-0.06796804282212393,-0.4115676908856736,
Radnitz_2017-01-12,5,39,True,False,2.1657652425012013,2.365571823528708,2.169204881601074,2.365571823528708,0.5051806152843785,-0.0735962065642966,0.3542131579198503,0.5254166179837046,-0.0735962065642966,
Radnitz_2017-01-12,5,40,True,False,0.9690356571180592,1.5168167706544224,-0.1747527019112447,1.516816770654423,-0.8292133957161729,0.2807815001191085,-0.207459787506861,-1.4059158782701175,-1.4059158782701175,
