session,trial_id,choice_left,decision_time_ms,signed_contrast,evidence_magnitude,matching_seed
Lederberg_2017-12-11,295,0,183.97565287568796,1.0,1.0,4
Lederberg_2017-12-11,296,1,188.97930363846172,-0.75,0.75,4
Lederberg_2017-12-11,299,0,243.67379920113308,0.5,0.5,4
Lederberg_2017-12-11,300,0,284.42177906663346,0.5,0.5,4
Radnitz_2017-01-12,0,0,163.16135883737815,1.0,1.0,5
Radnitz_2017-01-12,10,1,201.018269053705,-1.0,1.0,5
Radnitz_2017-01-12,11,0,280.1492595518482,1.0,1.0,5
Radnitz_2017-01-12,12,0,203.6891400661318,0.5,0.5,5
Radnitz_2017-01-12,15,1,209.0295128548263,-1.0,1.0,5
Radnitz_2017-01-12,24,0,252.98279256566047,0.5,0.5,5
Radnitz_2017-01-12,25,0,212.72713478603578,1.0,1.0,5
Radnitz_2017-01-12,26,1,197.87091595358675,-1.0,1.0,5
Radnitz_2017-01-12,32,1,184.22706302789038,-0.5,0.5,5
Radnitz_2017-01-12,35,1,163.17995263878515,-0.5,0.5,5
Radnitz_2017-01-12,36,0,277.51760897922395,1.0,1.0,5
Radnitz_2017-01-12,37,1,201.25360219870458,-0.75,0.75,5
Radnitz_2017-01-12,43,0,218.56105789979097,0.5,0.5,5
Radnitz_2017-01-12,45,1,218.22191011114,-1.0,1.0,5
Radnitz_2017-01-12,51,1,201.54716588217525,-0.75,0.75,5
Radnitz_2017-01-12,61,1,189.00222126711697,-0.75,0.75,5
Radnitz_2017-01-12,70,1,250.66310759433463,-1.0,1.0,5
Radnitz_2017-01-12,73,0,332.8502147505219,0.5,0.5,5
Radnitz_2017-01-12,83,1,247.02707005337743,-0.75,0.75,5
Radnitz_2017-01-12,101,1,236.25089222923634,-1.0,1.0,5
Radnitz_2017-01-12,102,0,164.92844244248772,0.5,0.5,5
Radnitz_2017-01-12,107,0,232.56529429909278,0.5,0.5,5
Radnitz_2017-01-12,111,0,302.4305194005592,1.0,1.0,5
Radnitz_2017-01-12,124,0,207.17528583679723,1.0,1.0,5
Richards_2017-11-01,1,0,206.52032394159647,0.25,0.25,27
Richards_2017-11-01,3,1,216.7890426774477,-0.75,0.75,27
Richards_2017-11-01,7,0,230.24411863875116,0.5,0.5,27
Richards_2017-11-01,8,1,233.3657524774253,0.0,0.0,27
Richards_2017-11-01,10,1,175.35641695599224,-1.0,1.0,27
Richards_2017-11-01,12,0,243.31927990471058,0.25,0.25,27
Richards_2017-11-01,15,1,305.7271077445023,0.0,0.0,27
Richards_2017-11-01,19,1,173.6167948471916,-0.5,0.5,27
Richards_2017-11-01,20,0,233.59211235481325,0.5,0.5,27
Richards_2017-11-01,23,1,188.1915751138763,-0.75,0.75,27
Richards_2017-11-01,26,1,168.55437032421605,-0.5,0.5,27
Richards_2017-11-01,27,0,149.08593569282402,0.0,0.0,27
Richards_2017-11-01,33,0,194.46955619835649,0.5,0.5,27
Richards_2017-11-01,34,1,150.37735721676881,-0.75,0.75,27
Richards_2017-11-01,37,0,299.4993971418012,0.75,0.75,27
Richards_2017-11-01,40,0,168.12215610585213,1.0,1.0,27
Richards_2017-11-01,43,0,210.06064423525572,0.0,0.0,27
Richards_2017-11-01,45,0,320.9848525493726,0.5,0.5,27
Richards_2017-11-01,48,0,236.09074752650372,-0.25,0.25,27
Richards_2017-11-01,50,1,297.97617185556646,0.0,0.0,27
Richards_2017-11-01,51,0,270.70698649868064,0.5,0.5,27
Richards_2017-11-01,54,1,149.19834817047217,-1.0,1.0,27
Richards_2017-11-01,56,1,297.9028523028262,0.5,0.5,27
Richards_2017-11-01,58,1,157.14758200692813,-0.5,0.5,27
Richards_2017-11-01,61,0,186.20311126801425,1.0,1.0,27
Richards_2017-11-01,63,1,188.8927289797948,0.0,0.0,27
Richards_2017-11-01,64,0,285.9576224150828,0.25,0.25,27
Richards_2017-11-01,65,0,272.97573982178847,0.75,0.75,27
Richards_2017-11-01,68,1,221.61145740273014,-0.5,0.5,27
Richards_2017-11-01,69,1,267.5703870800703,-0.5,0.5,27
Richards_2017-11-01,70,0,177.82573177004224,0.75,0.75,27
Richards_2017-11-01,71,1,349.4431971055292,-0.25,0.25,27
Richards_2017-11-01,72,0,204.4225478366002,0.5,0.5,27
Richards_2017-11-01,74,0,375.2210030141896,0.75,0.75,27
Richards_2017-11-01,75,0,386.11559875914736,0.25,0.25,27
Richards_2017-11-01,77,0,325.1838811206653,0.5,0.5,27
Richards_2017-11-01,79,0,243.85233811199214,1.0,1.0,27
Richards_2017-11-01,80,1,225.989039136266,-0.5,0.5,27
Richards_2017-11-01,81,1,175.1821308184276,-1.0,1.0,27
Richards_2017-11-01,82,0,223.7203306113429,0.5,0.5,27
Richards_2017-11-01,83,1,223.17609672592198,0.5,0.5,27
Richards_2017-11-01,84,1,213.84290772778058,-1.0,1.0,27
Richards_2017-11-01,85,1,212.65106297511238,-0.5,0.5,27
Richards_2017-11-01,88,1,252.05681890196274,-1.0,1.0,27
Richards_2017-11-01,91,0,266.0661986042214,0.5,0.5,27
Richards_2017-11-01,96,1,224.88300535775352,-0.5,0.5,27
Richards_2017-11-01,97,1,158.71687410788127,-0.5,0.5,27
