session,speed,n_trials,decision_time_cutoff_ms,spn_i,spn_j,pearson_r
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_left,iSPN_left,0.08686280187138185
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_left,dSPN_right,0.009504298197517103
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_left,iSPN_right,0.05567929690289466
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_left,dSPN_left,0.08686280187138183
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_left,iSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_left,dSPN_right,0.11565634473448715
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_left,iSPN_right,0.12085473243667144
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_right,dSPN_left,0.009504298197517103
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_right,iSPN_left,0.11565634473448716
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_right,dSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_right,iSPN_right,0.12763278203616535
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_right,dSPN_left,0.05567929690289466
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_right,iSPN_left,0.12085473243667144
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_right,dSPN_right,0.12763278203616535
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,iSPN_right,iSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_left,iSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_left,dSPN_left,0.013496761264382342
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_left,iSPN_right,0.12053986950026241
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_left,dSPN_right,0.04003995956059937
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_left,iSPN_left,0.013496761264382342
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_left,dSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_left,iSPN_right,0.048593450214483074
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_left,dSPN_right,0.05480689953217242
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_right,iSPN_left,0.1205398695002624
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_right,dSPN_left,0.048593450214483074
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_right,iSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,iSPN_right,dSPN_right,0.06458726595610807
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_right,iSPN_left,0.04003995956059937
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_right,dSPN_left,0.05480689953217243
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_right,iSPN_right,0.06458726595610806
mrsicflogellab | SWC_038 | 2020-07-31,fast,130,83.19253404511073,dSPN_right,dSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_left,iSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_left,dSPN_left,-0.012766476879010974
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_left,iSPN_right,0.1724836760491148
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_left,dSPN_right,0.04743199829926149
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_left,iSPN_left,-0.012766476879010972
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_left,dSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_left,iSPN_right,0.011381499032301182
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_left,dSPN_right,-0.02190536774604568
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_right,iSPN_left,0.1724836760491148
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_right,dSPN_left,0.011381499032301182
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_right,iSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,iSPN_right,dSPN_right,0.09031869661984207
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_right,iSPN_left,0.047431998299261494
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_right,dSPN_left,-0.02190536774604568
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_right,iSPN_right,0.09031869661984207
mrsicflogellab | SWC_038 | 2020-07-31,slow,130,539.8575154993068,dSPN_right,dSPN_right,1.0
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_left,dSPN_left,1.0
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_left,iSPN_left,-0.00022240607369526498
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_left,dSPN_right,0.005692575355579869
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_left,iSPN_right,0.06816701549555887
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_left,dSPN_left,-0.00022240607369526495
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_left,iSPN_left,1.0
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_left,dSPN_right,-0.02139024264773674
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_left,iSPN_right,0.055218880159816436
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_right,dSPN_left,0.005692575355579869
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_right,iSPN_left,-0.02139024264773674
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_right,dSPN_right,1.0
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,dSPN_right,iSPN_right,0.02136151929393995
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_right,dSPN_left,0.06816701549555887
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_right,iSPN_left,0.055218880159816436
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_right,dSPN_right,0.02136151929393995
cortexlab | KS086 | 2022-03-16,fast,67,94.8481746120251,iSPN_right,iSPN_right,1.0
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_left,dSPN_left,1.0
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_left,iSPN_left,-0.025676677491400176
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_left,dSPN_right,-0.04574839299570527
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_left,iSPN_right,0.06494927719671958
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_left,dSPN_left,-0.025676677491400176
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_left,iSPN_left,1.0
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_left,dSPN_right,0.02522773931117507
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_left,iSPN_right,0.07790884621149288
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_right,dSPN_left,-0.04574839299570526
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_right,iSPN_left,0.025227739311175067
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_right,dSPN_right,1.0
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,dSPN_right,iSPN_right,-0.03407700929509782
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_right,dSPN_left,0.06494927719671958
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_right,iSPN_left,0.07790884621149288
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_right,dSPN_right,-0.034077009295097827
cortexlab | KS086 | 2022-03-16,slow,67,402.51523377196463,iSPN_right,iSPN_right,1.0
