ccf_ap	ccf_dv	ccf_lr	allen_ontology
5124	3345.7	4517.2	CP
5114.6	3327.2	4469.5	CP
5125.6	3327.2	4499.6	CP
5127.1	3308.6	4482	CP
5138.1	3308.6	4512	CP
5128.7	3290.1	4464.4	CP
5139.7	3290.1	4494.4	CP
5141.2	3271.6	4476.9	CP
5152.2	3271.6	4506.9	CP
5142.8	3253	4459.3	CP
5153.7	3253	4489.3	CP
5155.3	3234.5	4471.7	CP
5166.2	3234.5	4501.8	CP
5156.9	3215.9	4454.1	CP
5167.8	3215.9	4484.2	CP
5169.4	3197.4	4466.6	CP
5180.3	3197.4	4496.7	CP
5170.9	3178.8	4449	CP
5181.9	3178.8	4479.1	CP
5194.4	3160.3	4491.5	CP
5185	3141.7	4443.9	CP
5196	3141.7	4473.9	CP
5197.5	3123.2	4456.4	CP
5208.5	3123.2	4486.4	CP
5199.1	3104.7	4438.8	CP
5210.1	3104.7	4468.8	CP
5211.6	3086.1	4451.2	CP
5222.6	3086.1	4481.3	CP
5213.2	3067.6	4433.6	CP
5224.1	3067.6	4463.7	CP
5225.7	3049	4446.1	CP
5236.6	3049	4476.2	CP
5227.3	3030.5	4428.5	CP
5238.2	3030.5	4458.6	CP
5239.8	3011.9	4441	CP
5250.7	3011.9	4471	CP
5241.4	2993.4	4423.4	CP
5252.3	2993.4	4453.4	CP
5253.9	2974.9	4435.9	CP
5264.8	2974.9	4465.9	CP
5255.4	2956.3	4418.3	CP
5266.4	2956.3	4448.3	CP
5267.9	2937.8	4430.7	CP
5278.9	2937.8	4460.8	CP
5269.5	2919.2	4413.1	CP
5280.5	2919.2	4443.2	CP
5282	2900.7	4425.6	CP
5293	2900.7	4455.7	CP
5283.6	2882.1	4408	CP
5294.5	2882.1	4438.1	CP
5296.1	2863.6	4420.5	CP
5307	2863.6	4450.5	CP
5297.7	2845	4402.9	CP
5308.6	2845	4432.9	CP
5310.2	2826.5	4415.4	CP
5321.1	2826.5	4445.4	CP
5311.8	2808	4397.8	CP
5324.3	2789.4	4410.2	CP
5335.2	2789.4	4440.3	CP
5325.8	2770.9	4392.6	CP
5336.8	2770.9	4422.7	CP
8169	5875.5	4161.4	root
8199	5875.5	4150.4	root
8151.4	5857	4159.8	root
8181.4	5857	4148.9	root
8163.8	5838.4	4147.3	root
8193.9	5838.4	4136.4	root
8146.2	5819.9	4145.7	root
8176.3	5819.9	4134.8	root
8158.7	5801.4	4133.2	root
8188.8	5801.4	4122.3	root
