source,source_bits,target,target_bits,probability,n_common_networks,choice,responsiveness,pliancy
6,[0110],5,[0101],0.041666666666666664,120,-26.392236959619407,-5.616450336063757,-0.5561467288376198
6,[0110],2,[0010],0.016666666666666666,96,16.927349259992454,-11.621252807400385,-6.034016712348223
6,[0110],4,[0100],0.058333333333333334,123,-15.722623292358636,-18.766420680525066,-11.831855640182724
6,[0110],11,[1011],0.008333333333333333,90,12.460006046531007,13.834310055438323,7.860730937438128
6,[0110],0,[0000],0.008333333333333333,124,8.297442368775723,-50.44220409423205,-51.23151277385818
6,[0110],10,[1010],0.004166666666666667,122,29.866385570906186,5.301702374057728,-1.4194618603136997
8,[1000],10,[1010],0.16759002770083103,267,6.665959527589205,15.628835592588462,9.933171481715082
8,[1000],11,[1011],0.02169898430286242,144,-8.191768964236436,20.221678265267272,17.565224012914037
8,[1000],14,[1110],0.05955678670360111,206,-9.913229180794161,26.988674983423152,15.95466519184145
8,[1000],15,[1111],0.017774699907663897,190,-21.33330629253501,31.473801090727818,21.26493989308379
8,[1000],12,[1100],0.1530470914127424,246,-20.846140180308424,16.00279351887167,9.858579014179815
8,[1000],13,[1101],0.01569713758079409,202,-32.70139926571056,22.11624406292055,16.34659563974842
8,[1000],4,[0100],0.004847645429362881,287,-38.47380918494902,-8.876337134719476,-1.6301068377729278
8,[1000],6,[0110],0.0004616805170821791,123,-21.785568096015293,9.761142576951082,10.050760427371554
8,[1000],9,[1001],0.0110803324099723,144,-19.714686773199062,10.056432591419224,11.78554847460946
8,[1000],0,[0000],0.018698060941828253,292,-13.970400661142367,-39.966785411099174,-42.46834227126521
8,[1000],2,[0010],0.002770083102493075,169,-6.227088551513475,-2.561445367991235,4.096797818732819
8,[1000],3,[0011],0.00023084025854108956,101,-20.16832462767611,4.663610061021037,12.543928381252943
8,[1000],5,[0101],0.00023084025854108956,258,-49.28622484311715,2.9332306967837525,9.248954980530314
8,[1000],1,[0001],0.00023084025854108956,168,-33.60035332949417,-9.367643448789627,4.243439442477704
1,[0001],5,[0101],0.09674922600619196,171,-13.871883008249831,10.229270158279022,3.692794801597678
1,[0001],11,[1011],0.0804953560371517,124,24.256941448433565,30.31365446774023,13.467575357440616
1,[0001],9,[1001],0.0456656346749226,112,14.157398210222336,16.543071962417727,6.703478087794668
1,[0001],13,[1101],0.013157894736842105,109,1.5089950823325493,28.440672422018864,11.038795711940278
1,[0001],3,[0011],0.3304953560371517,101,13.356631906948651,13.776420390422977,8.305211233845249
1,[0001],2,[0010],0.02863777089783282,142,27.595793044037862,5.446197047152108,-0.5590868898406194
1,[0001],8,[1000],0.007739938080495356,168,33.60035332949417,9.367643448789627,-4.243439442477704
1,[0001],15,[1111],0.02244582043343653,130,10.953530885575429,38.81601938348166,16.387061072096046
1,[0001],7,[0111],0.05417956656346749,124,-1.4417083499083108,22.55592646481239,12.277014072597686
1,[0001],0,[0000],0.11609907120743033,176,19.431045318608014,-29.042236722436407,-44.28866450944678
1,[0001],4,[0100],0.0015479876160990713,168,-5.054688962750912,0.09622514559844486,-5.856818430178406
1,[0001],10,[1010],0.0030959752321981426,167,39.77091506398118,23.365667672164385,4.952329366805767
1,[0001],14,[1110],0.0007739938080495357,113,22.953343452759512,33.97446090852747,10.65544893947701
1,[0001],12,[1100],0.0023219814241486067,124,12.82152022513972,22.698918412577505,4.147940276058613
14,[1110],15,[1111],0.16260162601626016,160,-11.649980999134964,3.771150955524572,4.979145976336957
14,[1110],7,[0111],0.010452961672473868,105,-22.93555309671404,-11.702969503792584,0.256054642714858
14,[1110],12,[1100],0.020905923344947737,192,-11.832878680174797,-11.327652079243213,-6.222979326988838
14,[1110],8,[1000],0.003484320557491289,206,9.913229180794161,-26.988674983423152,-15.95466519184145
14,[1110],4,[0100],0.003484320557491289,206,-27.667394722892126,-35.51907143439816,-17.299414801380358
14,[1110],6,[0110],0.010452961672473868,96,-10.64467763366363,-15.84219585249207,-4.839790665002727
