source,source_bits,target,target_bits,probability,n_common_networks,a,v,t,z
6,[0110],11,[1011],0.008333333333333333,90,-4.197525556985592,13.806042557571217,-13.249317647885768,2.989904029564096
6,[0110],0,[0000],0.008333333333333333,124,13.617693901632455,10.68894746469097,77.84892730637179,-13.541840889506165
6,[0110],10,[1010],0.004166666666666667,122,-0.46145715848584906,33.463243715119944,3.358862632301562,1.5300261925177785
8,[1000],10,[1010],0.16759002770083103,267,-6.492782028212877,7.614983171436993,-17.250483850341464,3.2896577923898853
8,[1000],11,[1011],0.02169898430286242,144,-8.371289416263785,-8.839421291675542,-30.47736702612835,4.521951324990532
8,[1000],14,[1110],0.05955678670360111,206,-14.195659223923178,-10.426073955629215,-33.566171202958934,4.171716569385664
8,[1000],15,[1111],0.017774699907663897,190,-16.251647548876228,-23.293641648541318,-43.71969557062923,5.033848346089146
8,[1000],12,[1100],0.1530470914127424,246,-9.991482849477048,-22.84229391092316,-23.645128245842912,1.7454981358517567
8,[1000],13,[1101],0.01569713758079409,202,-13.06699943583888,-36.11012920757787,-35.182654224926665,2.8164906640782754
8,[1000],4,[0100],0.004847645429362881,287,1.4291000621279257,-43.32198994890136,-0.6257171981214091,-2.667114947598341
8,[1000],6,[0110],0.0004616805170821791,123,-5.334165344401724,-24.424793511356903,-19.28953977137354,1.5705136471663645
8,[1000],9,[1001],0.0110803324099723,144,-4.009085579008101,-22.372883659419614,-20.4538553740133,2.2118267486206333
8,[1000],0,[0000],0.018698060941828253,292,7.8618065524541425,-14.167004742111246,59.6659901800785,-12.229647116054274
8,[1000],2,[0010],0.002770083102493075,169,3.055549986857712,-7.696015695618607,-2.5465435443734714,0.5559622357765538
8,[1000],3,[0011],0.00023084025854108956,101,0.22310001618778763,-23.38673499202215,-18.188247645727785,2.071433789941115
8,[1000],5,[0101],0.00023084025854108956,258,-3.6551874842947933,-55.65442999769506,-19.846024861810022,-0.33018509414038233
8,[1000],1,[0001],0.00023084025854108956,168,4.926071790962075,-38.706586361489144,-4.417296814357757,-1.1691826344979286
1,[0001],5,[0101],0.09674922600619196,171,-7.527920774190539,-14.903534462127658,-13.354273892448088,0.5617546766572481
1,[0001],11,[1011],0.0804953560371517,124,-13.570802794358794,28.146099126244017,-26.433146862974624,5.6306317023232495
1,[0001],9,[1001],0.0456656346749226,112,-7.8289838225347115,16.734405042374345,-14.267453727253539,2.8091081165654477
1,[0001],13,[1101],0.013157894736842105,109,-16.723355504803276,3.374469270025267,-27.96021797262739,3.6662653111983907
1,[0001],3,[0011],0.3304953560371517,101,-4.873733205146933,15.036345348431436,-12.987443582226895,3.0820930188167903
1,[0001],2,[0010],0.02863777089783282,142,-1.3674423974043157,31.112424827898757,3.0654611931502607,1.4372047387828881
1,[0001],8,[1000],0.007739938080495356,168,-4.926071790962075,38.706586361489144,4.417296814357757,1.1691826344979286
1,[0001],15,[1111],0.02244582043343653,130,-19.40707597887208,13.817672931911122,-36.76458657107367,6.072468999264879
1,[0001],7,[0111],0.05417956656346749,124,-11.778965526364164,-0.839223298240341,-25.880177079381465,3.6604708064532065
1,[0001],0,[0000],0.11609907120743033,176,2.9752141728541837,24.41141767284521,60.94681190460872,-10.48097263368307
1,[0001],4,[0100],0.0015479876160990713,168,-3.8770518996170487,-4.961439424659213,3.914367668458312,-1.6353279221374357
1,[0001],10,[1010],0.0030959752321981426,167,-10.267595144891885,45.52509143793631,-11.204657133793141,4.136992383862006
1,[0001],14,[1110],0.0007739938080495357,113,-17.89357662998645,27.174699077947558,-26.808464197138367,4.838350807394653
1,[0001],12,[1100],0.0023219814241486067,124,-13.723726457956602,15.960583530971729,-15.671241263003468,2.4700971140345143
14,[1110],15,[1111],0.16260162601626016,160,-1.4696642889375207,-13.17034267494774,-9.47182578840478,0.7232854561414214
14,[1110],7,[0111],0.010452961672473868,105,6.300084383462454,-26.961634683732644,3.4872505885596405,-1.546762450363486
14,[1110],12,[1100],0.020905923344947737,192,4.448362283468027,-13.494569857106317,10.876351338950954,-2.4694430535784098
14,[1110],8,[1000],0.003484320557491289,206,14.195659223923178,10.426073955629215,33.566171202958934,-4.171716569385664
14,[1110],4,[0100],0.003484320557491289,206,15.403414187117633,-31.813207136380207,32.77901288452988,-6.804884447062394
14,[1110],6,[0110],0.010452961672473868,96,8.654677182134831,-12.832674485128795,12.091554061559924,-2.075947439086916
14,[1110],10,[1010],0.011614401858304297,203,7.292140967476048,19.30160128553825,14.67890103598613,-0.7374907011346763
14,[1110],11,[1011],0.004645760743321719,106,4.7868753532341435,2.758035864593095,2.9127169809578124,0.3391495680453034
14,[1110],13,[1101],0.015098722415795587,177,1.7080059808403396,-27.19140407463701,-2.3098097504995407,-1.402857239189129
14,[1110],0,[0000],0.0011614401858304297,206,22.665468881048888,-3.3300150451552537,94.37481636899741,-16.537659239496687
14,[1110],3,[0011],0.0011614401858304297,64,12.495649147433397,-10.771259476230318,13.88465256142328,-1.6380515572221652
14,[1110],5,[0101],0.0011614401858304297,197,9.565142066613348,-43.622685035514635,13.101504341949889,-4.377097815638084
12,[1100],14,[1110],0.06819062378922898,192,-4.448362283468027,13.494569857106317,-10.876351338950954,2.4694430535784098
12,[1100],13,[1101],0.08097636574970941,193,-3.000641548449393,-14.610222193028621,-12.5298740564204,1.0919740642649087
12,[1100],15,[1111],0.059279349089500194,160,-6.252637794889486,-0.32817463699061256,-20.610314430277825,3.223974140218953
12,[1100],4,[0100],0.01084850833010461,247,11.640640128589222,-20.344103459035715,22.82688110874787,-4.532630541211525
12,[1100],8,[1000],0.008911274699728787,246,9.991482849477048,22.84229391092316,23.645128245842912,-1.7454981358517567
12,[1100],10,[1010],0.002324680356450988,225,2.9654484757429542,31.531531052094703,5.3875550035513395,1.6579471523123706
12,[1100],5,[0101],0.0030995738086013174,218,5.554093570369145,-32.39483424100182,2.390174812800893,-2.0646935250008234
12,[1100],0,[0000],0.0007748934521503294,247,18.63142285615101,9.414030886134228,84.18910042649036,-14.183510319662739
12,[1100],7,[0111],0.0003874467260751647,107,2.4540858242973336,-15.432493928353631,-7.485756613071156,0.9751217418505655
11,[1011],15,[1111],0.2219430485762144,127,-7.055223883566044,-15.26790659957206,-12.467537817029656,0.714171625337591
11,[1011],3,[0011],0.11306532663316583,96,8.18629186092522,-14.294916276824296,12.876118323837384,-2.574349295662595
11,[1011],7,[0111],0.018425460636515914,118,1.3277591628965202,-30.05742023361581,-0.031061303994047995,-1.842408782756345
11,[1011],9,[1001],0.005025125628140704,100,4.386252945990826,-12.749280805732596,11.654091313879356,-2.4760829830425424
11,[1011],10,[1010],0.038525963149078725,149,2.4342870580979143,16.71001623405355,13.918587165038893,-1.3436565394246505
11,[1011],2,[0010],0.0008375209380234506,124,12.185353298063156,1.877512784772755,29.544646118020957,-4.115469370721098
11,[1011],5,[0101],0.0008375209380234506,148,5.168873563254499,-44.416562515772995,11.940699090954736,-4.803146844958247
11,[1011],13,[1101],0.0008375209380234506,98,-3.9151364006546965,-27.446947734091523,-4.137692828544909,-1.6719205429601876
11,[1011],8,[1000],0.0016750418760469012,144,8.371289416263785,8.839421291675542,30.47736702612835,-4.521951324990532
11,[1011],14,[1110],0.0008375209380234506,106,-4.7868753532341435,-2.758035864593095,-2.9127169809578124,-0.3391495680453034
11,[1011],1,[0001],0.0008375209380234506,124,13.570802794358794,-28.146099126244017,26.433146862974624,-5.6306317023232495
11,[1011],6,[0110],0.0008375209380234506,90,4.197525556985592,-13.806042557571217,13.249317647885768,-2.989904029564096
4,[0100],15,[1111],0.02076603599446239,190,-17.21025213445238,18.719344133038717,-42.40967990935232,7.652066803383974
4,[0100],7,[0111],0.01799723119520074,147,-8.184723240462926,4.662687021513784,-30.663801183551406,5.417580794408843
4,[0100],0,[0000],0.014997692662667282,292,6.521266035793493,28.981274700062578,60.56372992356697,-9.540649261715203
4,[0100],5,[0101],0.16151361329026304,259,-4.941295219740238,-11.575083622107234,-19.25485042976132,2.400449974304182
4,[0100],13,[1101],0.0586063682510383,202,-14.25460305056557,4.586856498819631,-34.46385323566891,5.586482356573987
4,[0100],6,[0110],0.011305952930318412,123,-6.251275918940395,17.536395908646874,-19.172413543753407,4.372735490810902
4,[0100],12,[1100],0.14559298569450854,247,-11.640640128589222,20.344103459035715,-22.82688110874787,4.532630541211525
4,[0100],10,[1010],0.00046146746654360867,265,-7.813672473995749,51.04052186978504,-16.449286675056868,5.965926522442454
4,[0100],14,[1110],0.01430549146285187,206,-15.403414187117633,31.813207136380207,-32.77901288452988,6.804884447062394
4,[0100],8,[1000],0.004153207198892478,287,-1.4291000621279257,43.32198994890136,0.6257171981214091,2.667114947598341
4,[0100],1,[0001],0.0025380710659898475,168,3.8770518996170487,4.961439424659213,-3.914367668458312,1.6353279221374357
4,[0100],9,[1001],0.00046146746654360867,144,-5.207403455762113,20.89864744702912,-19.27743399964617,4.739925986044503
4,[0100],2,[0010],0.0006922011998154131,169,2.1898118194381784,35.615136066324354,-1.7719318172781016,3.1629858239147564
4,[0100],11,[1011],0.00023073373327180433,143,-9.420418422751592,33.021479460635234,-30.017565877901337,7.257039941708737
2,[0010],7,[0111],0.08256172839506173,129,-10.71938599606368,-32.48442718458894,-28.71215321830247,2.1110280884298196
2,[0010],10,[1010],0.10108024691358025,172,-8.9214353521671,14.156120478893477,-14.042952068486482,2.6353789651639508
2,[0010],3,[0011],0.35725308641975306,107,-3.968513925325436,-15.845569224775588,-16.752408606405496,1.722028521648156
2,[0010],5,[0101],0.008487654320987654,169,-6.545222459608421,-47.04358720140193,-15.556937117325472,-0.9666697553804658
2,[0010],6,[0110],0.04243827160493827,96,-8.075595869841983,-18.2226678880753,-15.94286862219604,0.9045127966008277
2,[0010],11,[1011],0.06018518518518518,124,-12.185353298063156,-1.877512784772755,-29.544646118020957,4.115469370721098
2,[0010],1,[0001],0.02854938271604938,142,1.3674423974043157,-31.112424827898757,-3.0654611931502607,-1.4372047387828881
2,[0010],0,[0000],0.11496913580246913,177,4.813065564300249,-6.996765285906895,59.62637034488981,-12.23236823845331
2,[0010],15,[1111],0.020061728395061727,136,-18.389932287627452,-16.859298612663487,-40.40636656776609,4.581558677623669
2,[0010],14,[1110],0.011574074074074073,120,-15.95283257235782,-5.264996163412741,-28.054183620173887,3.0998789422159883
2,[0010],4,[0100],0.009259259259259259,169,-2.1898118194381784,-35.615136066324354,1.7719318172781016,-3.1629858239147564
2,[0010],8,[1000],0.0023148148148148147,169,-3.055549986857712,7.696015695618607,2.5465435443734714,-0.5559622357765538
9,[1001],11,[1011],0.2916666666666667,100,-4.386252945990826,12.749280805732596,-11.654091313879356,2.4760829830425424
9,[1001],13,[1101],0.06818181818181818,109,-7.952813042560058,-13.757708543819728,-13.127089038992187,0.5708420878479351
9,[1001],15,[1111],0.09090909090909091,123,-11.312918861783269,-1.334917823180846,-22.83536626825497,2.9806943410801017
9,[1001],8,[1000],0.07196969696969698,144,4.009085579008101,22.372883659419614,20.4538553740133,-2.2118267486206333
9,[1001],10,[1010],0.03787878787878788,144,-1.7470949731846979,30.09644437498355,3.287466874821181,1.0947941228899825
9,[1001],0,[0000],0.007575757575757576,146,11.978714779778482,8.796410129905246,78.93041475208825,-13.919222872735059
9,[1001],3,[0011],0.007575757575757576,75,3.7883378212877377,-0.5830687597825288,0.9063175520389966,0.3227133590903253
9,[1001],1,[0001],0.015151515151515152,112,7.8289838225347115,-16.734405042374345,14.267453727253539,-2.8091081165654477
9,[1001],2,[0010],0.003787878787878788,110,7.477624231849502,14.47063307599413,16.4497002807144,-1.4181202623572942
9,[1001],5,[0101],0.003787878787878788,141,0.9661212056435122,-30.540279072238608,2.1200916487407335,-2.339022381691085
9,[1001],4,[0100],0.003787878787878788,144,5.207403455762113,-20.89864744702912,19.27743399964617,-4.739925986044503
13,[1101],15,[1111],0.15063731170336037,152,-3.515959201036307,13.677429879877401,-8.888048866487015,2.2028631801930105
13,[1101],9,[1001],0.008111239860950173,109,7.952813042560058,13.757708543819728,13.127089038992187,-0.5708420878479351
13,[1101],8,[1000],0.0011587485515643105,202,13.06699943583888,36.11012920757787,35.182654224926665,-2.8164906640782754
13,[1101],4,[0100],0.002317497103128621,202,14.25460305056557,-4.586856498819631,34.46385323566891,-5.586482356573987
13,[1101],12,[1100],0.027809965237543453,193,3.000641548449393,14.610222193028621,12.5298740564204,-1.0919740642649087
13,[1101],5,[0101],0.015063731170336037,190,8.355047092764849,-16.584632076354552,15.187476092066216,-3.078767484575155
13,[1101],14,[1110],0.013904982618771726,177,-1.7080059808403396,27.19140407463701,2.3098097504995407,1.402857239189129
13,[1101],11,[1011],0.011587485515643106,98,3.9151364006546965,27.446947734091523,4.137692828544909,1.6719205429601876
13,[1101],0,[0000],0.0011587485515643105,202,21.191415218910656,23.177698912515748,95.9621144170026,-15.188991422900742
13,[1101],7,[0111],0.004634994206257242,99,4.493372852579201,-1.2652046445865979,3.5359030626225207,-0.2503246926670348
13,[1101],1,[0001],0.0011587485515643105,109,16.723355504803276,-3.374469270025267,27.96021797262739,-3.6662653111983907
10,[1010],15,[1111],0.058146964856230034,193,-9.396956463812138,-32.29072143503708,-26.73889217315082,1.7971451293534797
10,[1010],11,[1011],0.0939297124600639,149,-2.4342870580979143,-16.71001623405355,-13.918587165038893,1.3436565394246505
10,[1010],14,[1110],0.08626198083067092,203,-7.292140967476048,-19.30160128553825,-14.67890103598613,0.7374907011346763
10,[1010],8,[1000],0.012779552715654952,267,6.492782028212877,-7.614983171436993,17.250483850341464,-3.2896577923898853
10,[1010],2,[0010],0.03258785942492013,172,8.9214353521671,-14.156120478893477,14.042952068486482,-2.6353789651639508
10,[1010],6,[0110],0.006389776357827476,122,0.46145715848584906,-33.463243715119944,-3.358862632301562,-1.5300261925177785
10,[1010],0,[0000],0.0038338658146964857,272,14.46367710954328,-22.458840339561657,76.00478126623268,-15.44110049015031
10,[1010],3,[0011],0.006389776357827476,105,5.148535266998341,-30.989387700571942,-3.5006161336486588,-0.8410374172720494
10,[1010],12,[1100],0.003194888178913738,225,-2.9654484757429542,-31.531531052094703,-5.3875550035513395,-1.6579471523123706
10,[1010],7,[0111],0.005750798722044728,150,-1.288398877160385,-45.80369364643946,-14.644131052946278,-0.516654746999743
10,[1010],9,[1001],0.0025559105431309905,144,1.7470949731846979,-30.09644437498355,-3.287466874821181,-1.0947941228899825
10,[1010],5,[0101],0.0012779552715654952,253,2.5555983124403774,-63.3474331479122,-2.101305665161773,-3.6669028421204617
3,[0011],7,[0111],0.2804801010739103,101,-7.003904801345336,-16.586315451100837,-13.616294180016302,0.6427149904102436
3,[0011],11,[1011],0.2337334175615919,96,-8.18629186092522,14.294916276824296,-12.876118323837384,2.574349295662595
3,[0011],15,[1111],0.05622236260265319,89,-14.603422555927168,-0.8067356455651358,-26.08133660116329,3.217654128397573
3,[0011],2,[0010],0.051168667087807956,107,3.968513925325436,15.845569224775588,16.752408606405496,-1.722028521648156
3,[0011],1,[0001],0.07075173720783323,101,4.873733205146933,-15.036345348431436,12.987443582226895,-3.0820930188167903
3,[0011],10,[1010],0.011370814908401769,105,-5.148535266998341,30.989387700571942,3.5006161336486588,0.8410374172720494
3,[0011],0,[0000],0.002526847757422615,109,6.637691790330287,8.501949932378482,72.58498106156154,-13.56970902276344
3,[0011],5,[0101],0.006948831332912192,106,-2.199807385718672,-31.20243822457447,0.4786742598448177,-2.6637359286954054
3,[0011],9,[1001],0.0018951358180669614,75,-3.7883378212877377,0.5830687597825288,-0.9063175520389966,-0.3227133590903253
3,[0011],8,[1000],0.0006317119393556538,101,-0.22310001618778763,23.38673499202215,18.188247645727785,-2.071433789941115
3,[0011],6,[0110],0.0006317119393556538,64,-3.9381812911988927,-3.411755384112572,0.42001255115364633,-1.0397748996268672
3,[0011],14,[1110],0.0006317119393556538,64,-12.495649147433397,10.771259476230318,-13.88465256142328,1.6380515572221652
7,[0111],11,[1011],0.031096563011456628,118,-1.3277591628965202,30.05742023361581,0.031061303994047995,1.842408782756345
7,[0111],15,[1111],0.19967266775777415,128,-7.81944639861946,15.790159717828775,-11.80244419422321,2.5691311202696485
7,[0111],3,[0011],0.12029459901800327,101,7.003904801345336,16.586315451100837,13.616294180016302,-0.6427149904102436
7,[0111],5,[0101],0.041734860883797055,153,3.940506642572818,-14.468075427581807,12.608822973068815,-3.0682513204298143
7,[0111],1,[0001],0.008183306055646482,124,11.778965526364164,0.839223298240341,25.880177079381465,-3.6604708064532065
7,[0111],4,[0100],0.0016366612111292963,147,8.184723240462926,-4.662687021513784,30.663801183551406,-5.417580794408843
7,[0111],6,[0110],0.0024549918166939444,93,3.5947862166582674,14.491473568000913,12.759710753480931,-1.1292139583355458
7,[0111],13,[1101],0.0024549918166939444,99,-4.493372852579201,1.2652046445865979,-3.5359030626225207,0.2503246926670348
7,[0111],2,[0010],0.0008183306055646482,129,10.71938599606368,32.48442718458894,28.71215321830247,-2.1110280884298196
7,[0111],14,[1110],0.0024549918166939444,105,-6.300084383462454,26.961634683732644,-3.4872505885596405,1.546762450363486
7,[0111],10,[1010],0.0008183306055646482,150,1.288398877160385,45.80369364643946,14.644131052946278,0.516654746999743
15,[1111],11,[1011],0.0774693350548741,127,7.055223883566044,15.26790659957206,12.467537817029656,-0.714171625337591
15,[1111],7,[0111],0.08134280180761781,128,7.81944639861946,-15.790159717828775,11.80244419422321,-2.5691311202696485
15,[1111],3,[0011],0.010974822466107165,89,14.603422555927168,0.8067356455651358,26.08133660116329,-3.217654128397573
15,[1111],5,[0101],0.003873466752743706,190,11.985483589774663,-29.954320823401297,23.801654882534663,-5.253124714539372
15,[1111],14,[1110],0.010329244673983214,160,1.4696642889375207,13.17034267494774,9.47182578840478,-0.7232854561414214
15,[1111],12,[1100],0.0012911555842479018,160,6.252637794889486,0.32817463699061256,20.610314430277825,-3.223974140218953
15,[1111],10,[1010],0.0032278889606197547,193,9.396956463812138,32.29072143503708,26.73889217315082,-1.7971451293534797
15,[1111],13,[1101],0.010329244673983214,152,3.515959201036307,-13.677429879877401,8.888048866487015,-2.2028631801930105
15,[1111],9,[1001],0.0012911555842479018,123,11.312918861783269,1.334917823180846,22.83536626825497,-2.9806943410801017
15,[1111],4,[0100],0.0006455777921239509,190,17.21025213445238,-18.719344133038717,42.40967990935232,-7.652066803383974
15,[1111],6,[0110],0.0006455777921239509,105,10.27138781029007,-0.564394394082526,23.056519959841076,-3.3227667838286754
