network_id,left_d_cross_score,left_i_cross_score,right_d_cross_score,right_i_cross_score,exact_dSPN_pair
47,0.6068635496691155,0.7153268714217864,0.6104001907924783,0.7117902302984236,True
48,0.642607829456903,0.6870654695658667,0.6213461391204573,0.7083271599023123,True
49,0.5571897681051721,0.6658937688499007,0.5631109225079546,0.6599726144471181,True
50,0.6929639426985529,0.7623205026624814,0.6685671702185767,0.7867172751424576,True
51,0.22937505291212212,0.5385997996045881,0.227685787175674,0.5402890653410363,True
52,0.6139265316912992,0.7123199787623951,0.5925104601292162,0.7337360503244779,True
53,0.487787547337628,0.6653399668227075,0.4394669967635874,0.7136605173967481,True
54,0.5195078554768476,0.6070471198507388,0.5469875339697707,0.5795674413578157,True
55,0.5912723791864107,0.7230186596959758,0.6316921286271446,0.6825989102552419,True
56,0.6249006837015941,0.6902770003800982,0.6383390275959033,0.676838656485789,True
57,0.612213047021918,0.6883771068547699,0.6290102559635338,0.6715798979131541,True
58,0.5210957285637292,0.5517418422980979,0.5207142233374914,0.5521233475243357,False
59,0.5758530131318159,0.6772247129742639,0.5936633004506984,0.6594144256553816,False
60,0.2785718737074707,0.4776649437931262,0.2339870829890901,0.5222497345115068,True
61,0.10719596936107716,0.592044488720223,0.19713407355137402,0.5021063845299262,True
62,0.5954382351008449,0.7033140478807884,0.5918566768330005,0.706895606148633,True
63,0.5144720120716157,0.6145412930909793,0.5125662783585366,0.6164470268040583,True
64,0.6737014694021484,0.754585653135335,0.6566356166393146,0.7716515058981687,True
65,0.6155586274114179,0.6410661778436821,0.569320466335288,0.6873043389198119,True
66,0.617862425846229,0.6603201012535287,0.6229517051465983,0.6552308219531595,False
67,0.555861029764681,0.6612816471609219,0.5427879819717072,0.6743546949538956,True
68,0.4353813941177221,0.6084583548914296,0.47637338325607625,0.5674663657530755,True
69,0.6352280266660506,0.6509197067161316,0.6412466384140274,0.6449010949681547,False
70,0.6425267514457071,0.7481123380601615,0.6708575765577083,0.7197815129481604,True
71,0.6150000598945894,0.6562972258337443,0.5784667350481636,0.6928305506801702,True
72,0.6233929265370377,0.6848217150365307,0.6138341808044311,0.6943804607691373,True
73,0.466165303554175,0.6083636791249407,0.486970953042137,0.5875580296369787,True
74,0.5752172775050213,0.6753116031290698,0.6023878879154143,0.6481409927186768,True
75,0.6096708932887555,0.6906274024733561,0.5980337432403215,0.7022645525217901,True
76,0.5000951247739669,0.7226546578828765,0.5157508921498983,0.7069988905069451,True
77,0.5492594043645,0.651006596388217,0.5572580900937705,0.6430079106589466,True
78,0.6983324694819381,0.7908157193796539,0.7108556326131552,0.7782925562484367,True
79,0.6394503793456566,0.6427413828387853,0.6029916471534849,0.6792001150309572,True
80,0.5908549613461014,0.7357542431255966,0.6274656233282412,0.6991435811434568,True
81,0.6194353820549798,0.6751970996852164,0.6373695223203721,0.6572629594198239,True
82,0.22639802305844298,0.592413491695759,0.2995602888175661,0.5192512259366358,True
83,0.26846915261396415,0.6125537474971514,0.29966236076731134,0.5813605393438042,True
84,0.5747161841593426,0.6530164256269975,0.515506508689699,0.7122261010966411,True
85,0.6137198771646575,0.6576982689435149,0.609093335590095,0.6623248105180773,True
86,0.4387469650164811,0.5426993560321893,0.44888294150148794,0.5325633795471826,True
87,0.6522006741685933,0.7052472975786571,0.6564069385536633,0.701041033193587,True
88,0.5365974473381308,0.6491035032142662,0.5369377892516805,0.6487631613007164,True
89,0.3133752765949794,0.4766774181186377,0.32485643693781274,0.4651962577758044,True
90,0.5653511360737542,0.7230477943975817,0.5493450069562935,0.7390539235150424,True
91,0.19896044624198272,0.46585289089705645,0.19838262135461257,0.46643071578442663,True
92,0.5529225294251785,0.6816102246582698,0.5164590937419253,0.7180736603415229,True
93,0.4964779006367149,0.6474561009227935,0.5337933361764726,0.6101406653830357,True
94,0.507605589346152,0.6949201409356272,0.5225063909787391,0.6800193393030403,True
95,0.6605968442790251,0.7375996894681142,0.6602191213802926,0.7379774123668468,True
96,0.413145783071999,0.6507117617289215,0.46505023909797777,0.5988073057029428,True
97,0.505185029596873,0.6755871728489151,0.5037334240129747,0.6770387784328136,True
98,0.5694890046882323,0.6684663574374126,0.5623995520318119,0.6755558100938328,True
99,0.36059461721593317,0.5943080396365317,0.33020821631977354,0.6246944405326913,True
100,0.5173562488654984,0.6811278860557735,0.5161239728641016,0.6823601620571702,True
101,0.45080902555247443,0.6392157713450464,0.46622976792470094,0.6237950289728198,True
102,0.6124344027672746,0.6382479971378625,0.6149237169885918,0.6357586829165454,False
103,0.6178057068722963,0.6712335566987195,0.6070310972899529,0.6820081662810629,True
104,0.5457677857528518,0.6416983772209219,0.5482383212660411,0.6392278417077327,True
105,0.5306406283151809,0.677892573793651,0.5666336150586588,0.6418995870501729,True
106,0.514138582113324,0.6372699844444321,0.49194069677581287,0.6594678697819432,True
107,0.49484335618919517,0.7070280183621662,0.4884535411042633,0.7134178334470981,True
108,0.631861253854695,0.6534901299260993,0.6060812490005512,0.6792701347802433,True
109,0.3447307702988629,0.6056375175458046,0.36462124402156465,0.5857470438231028,True
110,-0.0653192123558707,0.26336781137477144,-0.062441800336511706,0.2604903993554124,True
111,0.5437994510393085,0.7209823489981431,0.5398278239788519,0.7249539760585997,True
112,0.5719388342149542,0.736856371586649,0.6021585230397264,0.7066366827618766,True
113,0.5316257711902229,0.7025816568105732,0.49647952102095183,0.7377279069798444,True
114,0.536134184773263,0.645830741098657,0.5605663788864705,0.6213985469854496,True
115,0.6007699804996824,0.6401695650738529,0.605995095351154,0.6349444502223813,True
116,0.6396898975719256,0.7545689811800258,0.6366530934694614,0.7576057852824898,True
117,0.5493280476592532,0.6085400107242072,0.5754009965349448,0.5824670618485155,False
118,0.5691701956271286,0.6184868350407398,0.5147143407436576,0.6729426899242106,True
119,0.6427325774706255,0.6898418121652287,0.6389523194113906,0.6936220702244635,True
120,0.6032835965854817,0.654843496836225,0.581833294281197,0.6762937991405098,True
121,0.5322908149401256,0.6358390391386033,0.5368791518285451,0.6312507022501836,True
122,0.4869664813739958,0.5562036436213775,0.5159369712754983,0.527233153719875,False
123,0.6052893005529714,0.6512132750408337,0.6183944524456345,0.6381081231481704,False
124,0.3612792452014384,0.5897311874393866,0.34352063247723896,0.607489800163586,True
125,0.5993373660553202,0.6200893824847042,0.550524603754464,0.6689021447855605,True
126,0.5692525747335848,0.676765294575473,0.6106518546793017,0.6353660146297563,True
127,0.591686825229933,0.6803568236617661,0.5681685465415566,0.7038751023501426,True
128,0.47716836533647056,0.595489813850959,0.48509175985389585,0.5875664193335335,True
129,0.612528136767472,0.6702303629510038,0.6166522338999261,0.6661062658185497,True
130,0.5776082900505217,0.639956438878575,0.5693136732761893,0.6482510556529075,True
131,0.6102201620818959,0.6190566612107464,0.5701588717091508,0.6591179515834915,True
132,0.5703071532046731,0.6797833023671275,0.5628510771065495,0.687239378465251,True
133,0.5751553478164697,0.624254030498784,0.5861731399019714,0.6132362384132822,False
134,0.5670038580829613,0.7139063541595315,0.6080777799959154,0.6728324322465775,True
135,0.49113317276967167,0.527758383533071,0.5023566551838193,0.5165349011189233,True
136,0.5495601671714195,0.5887886712465171,0.5355235682295647,0.602825270188372,True
137,0.36277237434155984,0.48440523622810006,0.3282068500690803,0.5189707605005796,True
138,0.5435685483258541,0.5841584213377368,0.5065578011431519,0.6211691685204392,True
139,0.4002064644153841,0.6410723726517411,0.41546882923973827,0.6258100078273868,True
140,0.5256703138739292,0.7013539946433638,0.5673984763960935,0.6596258321211993,True
141,0.3794192480612559,0.6208693691266951,0.39650256645549287,0.6037860507324582,True
142,0.5346115868438801,0.6646839002971909,0.5356702486196353,0.6636252385214358,True
143,0.5623453839305038,0.7106132243632683,0.5366753343889492,0.7362832739048231,True
144,0.5707828588958692,0.5921203748810004,0.5405862997633484,0.6223169340135211,True
145,0.5259252208563117,0.676794951666054,0.5160250682083826,0.6866951043139831,True
146,0.6529526411933041,0.686007739754425,0.5932794601314703,0.7456809208162589,True
147,0.5806107283029583,0.6802606458229665,0.5212866203496782,0.7395847537762468,True
148,0.5678883356923735,0.7062676622572406,0.5570493847738827,0.7171066131757315,True
149,0.5482027579033654,0.636533070496125,0.5564814042383566,0.6282544241611336,True
150,0.6054074839992973,0.7111558797580984,0.644508778915502,0.6720545848418936,True
151,0.5992434467650452,0.6828513197701992,0.5997145112608899,0.6823802552743544,True
152,0.6450480330202774,0.7447695595328903,0.6182022091278816,0.7716153834252861,True
153,0.5817135060152987,0.6880772967421591,0.5916613793935028,0.6781294233639551,True
154,0.6247054327632507,0.7405169336880293,0.6552741239628141,0.709948242488466,True
155,0.600846441397769,0.6785190451923833,0.6205671981070511,0.6587982884831012,True
156,0.5896461054997613,0.6253830616441298,0.5347493200619493,0.6802798470819418,True
157,0.7246523588903433,0.7526516108547563,0.7106510759726867,0.7666528937724129,True
158,0.6180543695731762,0.7038213460182753,0.6067619739261185,0.715113741665333,True
159,0.570290518093699,0.6932688430895686,0.6020988436249615,0.6614605175583061,True
160,0.6832755820069829,0.7102755541721731,0.6290431296764852,0.764508006502671,True
161,0.5879116600663674,0.6026306754323425,0.5907072362812285,0.5998350992174815,True
162,0.5285030225937768,0.6470119291095691,0.5540322808455138,0.621482670857832,True
163,0.6811860763702098,0.7011774097750261,0.6760564283292242,0.7063070578160117,True
164,0.4811322225103522,0.519541794327687,0.4754921066925699,0.5251819101454693,False
165,0.622307577518489,0.6301540165445831,0.6099519677281396,0.6425096263349324,True
166,0.6431006124590781,0.7194657588578892,0.568541235113873,0.7940251362030946,True
167,0.501709111233946,0.6876157296830108,0.5587434278200895,0.6305814130968673,True
168,0.537735531342459,0.60979829288729,0.5674195307316102,0.5801142934981389,False
169,0.5070244131732815,0.7453663518501195,0.4975365201518973,0.7548542448715034,True
170,0.43242834560425886,0.7456009099613186,0.5025752517905291,0.6754540037750484,True
171,0.5074318405765914,0.6269930110397105,0.5601995943806044,0.5742252572356976,False
172,0.6428016776473955,0.6837375647305904,0.6262428775416736,0.7002963648363123,True
173,0.4230142751282121,0.576165523839121,0.39879285591772373,0.6003869430496094,True
174,0.5481735206528374,0.6493466052842412,0.5439449777892763,0.6535751481478023,True
175,0.47849737384364477,0.7254672648388865,0.4698619539325204,0.7341026847500108,True
176,0.5320923351737891,0.7146773425110281,0.5735185566354517,0.6732511210493655,True
177,0.6364385581980373,0.7034994467979749,0.594898953939867,0.7450390510561451,True
178,0.5769428313382675,0.6746166743175313,0.591797879617675,0.6597616260381236,True
179,0.5382782463011846,0.6389694461137843,0.5147947956059997,0.6624528968089691,True
180,0.5484704699717877,0.7198428066695521,0.5297718179295908,0.7385414587117491,True
181,0.6168065207766287,0.7117700965108131,0.6233670758158739,0.7052095414715678,True
182,0.3358049957309992,0.3734134334700847,0.319802595099563,0.38941583410152086,False
183,0.6010361586866615,0.6108039831416328,0.6002808293322875,0.6115593124960068,False
184,0.4914600400370248,0.5296065876282539,0.49777557023980235,0.5232910574254763,True
185,0.7045884418699884,0.7298539924181534,0.7171701271654375,0.7172723071227044,True
186,0.6706558719112136,0.6992958529066451,0.6795877983810338,0.6903639264368251,True
187,0.5675377652550545,0.6631695128969375,0.5539467173701719,0.6767605607818201,True
188,0.44878103723151525,0.589228526916948,0.43240090376615353,0.6056086603823096,True
189,0.5198013856875525,0.6896740482905339,0.5697312299275296,0.6397442040505568,True
190,0.6694171460614788,0.6846051540245284,0.6594048692852306,0.6946174308007764,False
191,0.20426113563342188,0.3876869314027615,0.14649879204869332,0.44544927498749004,True
192,0.5217088851937657,0.5588629530740514,0.47836708262870253,0.6022047556391146,True
193,0.5150748111639054,0.6770851675175873,0.5659156348423808,0.6262443438391119,True
194,0.3791376258325736,0.5240477363766356,0.43113114257466834,0.47205421963454086,False
195,0.5991049438306086,0.6252707015082286,0.6041179165256692,0.6202577288131681,False
196,0.6498844919154887,0.6718391369835149,0.5872301797149317,0.7344934491840718,True
197,0.4961574315478996,0.5112359866725903,0.47492719784519444,0.5324662203752955,False
198,0.5679658730022192,0.6625543594342473,0.5730682322032659,0.6574520002332007,True
199,0.6389737390114731,0.660695678937038,0.6491174867569929,0.6505519311915183,True
200,0.5527182518187101,0.6010418949076364,0.5499033659904776,0.6038567807358688,False
201,0.6286654680908108,0.7034115603848001,0.6208769620533872,0.7112000664222238,True
202,0.5597519489355696,0.7165734084550701,0.602034786075851,0.6742905713147888,True
203,0.5731176307866325,0.6100672305105685,0.5878651529744365,0.5953197083227646,True
204,0.6278152976340317,0.7109657058763224,0.6529123139622188,0.6858686895481354,True
205,0.5493465678980082,0.6563031997941481,0.5183981003974555,0.6872516672947008,True
206,0.61278345331034,0.6373396237667888,0.5974398694291392,0.6526832076479896,True
207,0.5785121630103087,0.6700400564552321,0.6086324030429271,0.6399198164226136,True
208,0.6054164231344982,0.6649883611523979,0.5853341378313925,0.6850706464555034,True
209,0.5642568333628487,0.5982133240432304,0.5284239943569754,0.6340461630491037,False
210,0.5789981761715788,0.5982234922551569,0.5200888306481133,0.6571328377786223,True
211,0.5772067652578763,0.612603172210086,0.5544312189024878,0.6353787185654742,True
212,0.43129496073588997,0.47318245624129684,0.44718173828887753,0.45729567868830934,True
213,0.6406835282986904,0.7114778470105452,0.6058775514482528,0.7462838238609826,True
214,0.6251975681403901,0.6318546242097169,0.5880396525643155,0.6690125397857914,True
215,0.6317270958962684,0.682832480451073,0.6519071210455336,0.662652455301808,False
216,0.38374248001044076,0.7029038750792939,0.45775197858564776,0.6288943765040869,True
217,0.5636410591445496,0.726387455566773,0.5360099894156509,0.7540185252956718,True
218,0.5638735663269199,0.5904755014218898,0.5549930339071931,0.5993560338416164,True
219,0.6340654070535685,0.672773663183821,0.5913714796384355,0.7154675905989539,True
220,0.6234998520010971,0.6369209279215773,0.587020499204339,0.6734002807183355,True
221,0.4651912188408074,0.6052694971110342,0.5336365536984867,0.5368241622533547,True
222,0.5881863883038303,0.6771598986628942,0.6052111018806519,0.6601351850860728,True
223,0.6569297628138937,0.7042077567943235,0.6346026219198391,0.7265348976883782,True
224,0.6531211187211055,0.7271261428672668,0.6512521569902434,0.7289951045981289,True
225,0.6243847947415835,0.6629087815269936,0.576552322140653,0.7107412541279241,True
226,0.5907292287690197,0.6783569393005467,0.5683267182193287,0.7007594498502379,True
227,0.5981466373778563,0.6318502380885772,0.5594885220435359,0.6705083534228977,True
228,0.6409451042738695,0.7251871065856201,0.6459302554048623,0.7202019554546275,True
229,0.6524419524549421,0.7610339186389699,0.6762649393743648,0.7372109317195471,True
230,0.6771360235220103,0.7243544708157393,0.6847487479256833,0.7167417464120662,True
231,0.5346786523857149,0.5868905606052655,0.5317969012999555,0.589772311691025,True
232,0.5909128971707447,0.6931802056001843,0.6192365034847155,0.6648565992862135,True
233,0.6100325263986157,0.6504484260686356,0.6249699423450008,0.6355110101222504,False
234,0.5113683212345699,0.5805837629599409,0.4963278134067528,0.5956242707877579,False
235,0.6291921564150511,0.6681172762786631,0.6261179318447493,0.6711915008489648,True
236,0.7192612816818802,0.7893106364718886,0.7128984056127052,0.7956735125410637,True
237,0.585897954708914,0.6601901129916614,0.5800672251810384,0.6660208425195371,True
238,0.5636930156857585,0.6196876500322291,0.528234300747835,0.6551463649701528,True
239,0.5970124405264927,0.672009854899867,0.5948420984926966,0.6741801969336629,True
240,0.6788499861148871,0.7430113019988331,0.6627672793798789,0.7590940087338414,True
241,0.6299519941908829,0.6805341359858021,0.5898996503500609,0.7205864798266242,True
242,0.5979375345685316,0.6727194355302819,0.6272915018355603,0.643365468263253,True
243,0.23337949536740288,0.543795785043959,0.2193652208081332,0.5578100596032286,True
244,0.569339627651651,0.6643985706517368,0.5639291165567026,0.6698090817466851,True
245,0.6295440276402439,0.6483313452503618,0.5739669579079993,0.7039084149826065,True
246,0.35918358139560713,0.5049320775755313,0.33065978817454833,0.5334558707965901,True
247,0.47042085168549364,0.6449620295959828,0.4504175356981424,0.6649653455833341,True
248,0.5418211544567688,0.7005285285060292,0.5542305850370619,0.6881190979257359,True
249,0.42895004115126145,0.5815419580706636,0.40144264869601226,0.6090493505259127,True
250,0.5144566273655071,0.6492066909901288,0.5445181116439777,0.6191452067116583,True
251,0.5319482310644397,0.6413989848622494,0.49946819899165074,0.6738790169350382,True
252,0.5510536728782001,0.6764274496583462,0.5582668454863046,0.6692142770502418,True
253,0.6486330506317922,0.7222619743035346,0.62281614734815,0.7480788775871767,True
254,0.5259286516888564,0.6379561359798356,0.5365065931024605,0.6273781945662313,True
255,0.6729027400781908,0.7006342511728434,0.6407506529396063,0.7327863383114279,True
256,0.5547166553589593,0.6318397128420564,0.5842483787230552,0.6023079894779604,True
257,0.5900141224376605,0.6382923596756794,0.6090603775215481,0.6192461045917917,True
258,0.4948305569441454,0.6102404893862067,0.48504637678377943,0.6200246695465725,True
259,0.5105410928717034,0.6553765680569088,0.5166185678026244,0.6492990931259879,True
260,0.5587081724533189,0.5589312167076645,0.535454086323466,0.5821853028375172,False
261,0.5589289985040392,0.6561645482989313,0.5831694583738711,0.6319240884290993,True
262,0.5381881990356203,0.6425286190925659,0.5384793641116455,0.6422374540165405,True
263,0.5261852519317625,0.5548055416121327,0.5274281833410708,0.5535626102028246,False
264,0.5757538053812834,0.7292084346367165,0.5619112226764578,0.7430510173415422,True
265,0.5938863048758365,0.6514226961055261,0.5722560319496361,0.6730529690317264,True
266,0.5503297682533383,0.6930442196729871,0.5157334730112334,0.727640514915092,True
267,0.5666757498516659,0.6872343273395072,0.6038807521389438,0.6500293250522293,True
268,0.5269034646600003,0.7438302004251398,0.5333414119396437,0.7373922531454964,True
269,0.5834191538044746,0.7219610829689501,0.5450689965269884,0.7603112402464363,True
270,0.5241846088109359,0.7828386242469481,0.5840172901206702,0.7230059429372138,True
271,0.5462757998480195,0.7296087900113726,0.5627979965508944,0.7130865933084978,True
272,0.5384319454376978,0.7764915984852998,0.6256571207262696,0.6892664231967279,True
273,0.5957872989498669,0.6821946798253331,0.6051135329085215,0.6728684458666784,True
