source,source_bits,target,target_bits,transition_type,count,probability
7,"[0,1,1,1]",13,"[1,1,0,1]",state_to_state,3,0.0024549918166939444
7,"[0,1,1,1]",14,"[1,1,1,0]",state_to_state,3,0.0024549918166939444
7,"[0,1,1,1]",15,"[1,1,1,1]",state_to_state,244,0.19967266775777415
8,"[1,0,0,0]",END,END,state_to_END,2279,0.5260849492151431
8,"[1,0,0,0]",0,"[0,0,0,0]",state_to_state,81,0.018698060941828253
8,"[1,0,0,0]",1,"[0,0,0,1]",state_to_state,1,0.00023084025854108956
8,"[1,0,0,0]",2,"[0,0,1,0]",state_to_state,12,0.002770083102493075
8,"[1,0,0,0]",3,"[0,0,1,1]",state_to_state,1,0.00023084025854108956
8,"[1,0,0,0]",4,"[0,1,0,0]",state_to_state,21,0.004847645429362881
8,"[1,0,0,0]",5,"[0,1,0,1]",state_to_state,1,0.00023084025854108956
8,"[1,0,0,0]",6,"[0,1,1,0]",state_to_state,2,0.0004616805170821791
8,"[1,0,0,0]",9,"[1,0,0,1]",state_to_state,48,0.0110803324099723
8,"[1,0,0,0]",10,"[1,0,1,0]",state_to_state,726,0.16759002770083103
8,"[1,0,0,0]",11,"[1,0,1,1]",state_to_state,94,0.02169898430286242
8,"[1,0,0,0]",12,"[1,1,0,0]",state_to_state,663,0.1530470914127424
8,"[1,0,0,0]",13,"[1,1,0,1]",state_to_state,68,0.01569713758079409
8,"[1,0,0,0]",14,"[1,1,1,0]",state_to_state,258,0.05955678670360111
8,"[1,0,0,0]",15,"[1,1,1,1]",state_to_state,77,0.017774699907663897
9,"[1,0,0,1]",END,END,state_to_END,105,0.3977272727272727
9,"[1,0,0,1]",0,"[0,0,0,0]",state_to_state,2,0.007575757575757576
9,"[1,0,0,1]",1,"[0,0,0,1]",state_to_state,4,0.015151515151515152
9,"[1,0,0,1]",2,"[0,0,1,0]",state_to_state,1,0.003787878787878788
9,"[1,0,0,1]",3,"[0,0,1,1]",state_to_state,2,0.007575757575757576
9,"[1,0,0,1]",4,"[0,1,0,0]",state_to_state,1,0.003787878787878788
9,"[1,0,0,1]",5,"[0,1,0,1]",state_to_state,1,0.003787878787878788
9,"[1,0,0,1]",8,"[1,0,0,0]",state_to_state,19,0.07196969696969698
9,"[1,0,0,1]",10,"[1,0,1,0]",state_to_state,10,0.03787878787878788
9,"[1,0,0,1]",11,"[1,0,1,1]",state_to_state,77,0.2916666666666667
9,"[1,0,0,1]",13,"[1,1,0,1]",state_to_state,18,0.06818181818181818
